iter	Passed	Remaining
0	2	2150
1	4	2025
2	5	1927
3	7	1863
4	9	1821
5	10	1787
6	12	1765
7	14	1751
8	15	1760
9	17	1751
10	19	1742
11	21	1742
12	22	1730
13	24	1733
14	26	1745
15	28	1736
16	29	1731
17	31	1744
18	33	1743
19	35	1758
20	37	1763
21	39	1748
22	41	1742
23	42	1740
24	44	1734
25	46	1731
26	48	1741
27	50	1740
28	51	1740
29	53	1741
30	55	1737
31	57	1731
32	58	1725
33	60	1720
34	62	1713
35	64	1720
36	66	1733
37	68	1741
38	70	1738
39	72	1730
40	73	1721
41	75	1714
42	76	1706
43	78	1698
44	80	1706
45	82	1705
46	84	1705
47	85	1700
48	87	1693
49	88	1686
50	90	1679
51	91	1674
52	93	1666
53	95	1666
54	96	1664
55	98	1661
56	100	1658
57	101	1651
58	103	1645
59	104	1639
60	106	1632
61	107	1627
62	109	1622
63	110	1618
64	112	1621
65	114	1616
66	115	1612
67	117	1610
68	119	1609
69	120	1604
70	122	1599
71	123	1595
72	125	1590
73	127	1589
74	128	1587
75	130	1585
76	132	1582
77	133	1578
78	135	1574
79	136	1569
80	138	1565
81	139	1567
82	141	1564
83	143	1562
84	144	1560
85	146	1561
86	148	1558
87	150	1557
88	151	1555
89	153	1553
90	155	1551
91	156	1548
92	159	1550
93	160	1549
94	162	1549
95	164	1546
96	165	1543
97	167	1539
98	168	1536
99	170	1533
100	171	1530
101	173	1528
102	175	1528
103	177	1527
104	179	1526
105	180	1522
106	182	1519
107	183	1516
108	185	1515
109	186	1512
110	188	1509
111	190	1511
112	192	1509
113	194	1509
114	195	1506
115	197	1503
116	198	1499
117	200	1497
118	201	1494
119	203	1492
120	205	1491
121	207	1490
122	208	1489
123	210	1488
124	212	1485
125	213	1482
126	215	1480
127	216	1478
128	218	1475
129	219	1472
130	222	1472
131	223	1470
132	225	1470
133	227	1468
134	228	1465
135	230	1462
136	232	1462
137	233	1460
138	235	1459
139	238	1463
140	240	1466
141	243	1468
142	244	1467
143	246	1466
144	248	1465
145	250	1463
146	251	1461
147	253	1460
148	255	1460
149	257	1460
150	259	1459
151	261	1457
152	262	1455
153	264	1453
154	266	1452
155	267	1449
156	269	1448
157	271	1447
158	273	1448
159	275	1448
160	277	1447
161	279	1446
162	281	1446
163	283	1444
164	285	1444
165	287	1444
166	289	1445
167	291	1443
168	293	1441
169	294	1438
170	296	1436
171	298	1435
172	300	1436
173	302	1435
174	304	1435
175	306	1434
176	308	1433
177	310	1431
178	312	1432
179	314	1431
180	316	1432
181	318	1433
182	321	1433
183	322	1432
184	324	1430
185	326	1428
186	328	1426
187	329	1424
188	331	1423
189	333	1421
190	335	1419
191	337	1420
192	339	1419
193	341	1418
194	343	1417
195	345	1416
196	347	1414
197	349	1416
198	352	1417
199	354	1417
200	356	1415
201	357	1412
202	359	1410
203	360	1408
204	362	1406
205	364	1404
206	365	1401
207	367	1399
208	369	1397
209	370	1394
210	372	1392
211	373	1389
212	375	1387
213	377	1385
214	379	1386
215	381	1384
216	383	1382
217	384	1380
218	386	1378
219	388	1375
220	391	1380
221	393	1379
222	395	1377
223	397	1376
224	398	1374
225	400	1372
226	402	1370
227	403	1367
228	405	1365
229	407	1364
230	409	1362
231	410	1360
232	412	1358
233	414	1357
234	416	1355
235	418	1353
236	419	1352
237	421	1350
238	423	1347
239	424	1345
240	426	1344
241	428	1342
242	430	1340
243	431	1337
244	433	1335
245	434	1332
246	436	1330
247	437	1327
248	439	1325
249	441	1323
250	443	1323
251	445	1322
252	447	1320
253	448	1318
254	450	1315
255	451	1312
256	453	1310
257	454	1307
258	456	1305
259	458	1305
260	460	1304
261	462	1303
262	464	1302
263	466	1300
264	468	1298
265	470	1298
266	472	1298
267	474	1296
268	476	1295
269	478	1294
270	480	1293
271	482	1291
272	484	1289
273	485	1287
274	487	1286
275	490	1286
276	492	1285
277	494	1284
278	496	1282
279	498	1281
280	500	1280
281	503	1280
282	505	1281
283	508	1281
284	510	1280
285	512	1279
286	514	1277
287	516	1276
288	518	1274
289	520	1273
290	521	1271
291	523	1269
292	525	1267
