iter	RMSE
0	1.079409513
1	1.042121492
2	1.006944079
3	0.9731977211
4	0.9433568442
5	0.911384329
6	0.8793247278
7	0.8510189852
8	0.8232453556
9	0.796872552
10	0.7703550886
11	0.747524081
12	0.7270261384
13	0.7043850487
14	0.6842504799
15	0.6651716239
16	0.6474068339
17	0.6293762229
18	0.6125141402
19	0.5965904005
20	0.5813147287
21	0.5659403312
22	0.5498812435
23	0.5364771495
24	0.5220623526
25	0.5111650068
26	0.4987281484
27	0.4881231106
28	0.4771035779
29	0.4674510819
30	0.4568205972
31	0.4468783739
32	0.4391171792
33	0.4309369638
34	0.4229572105
35	0.414757059
36	0.4066591078
37	0.3984318357
38	0.3902424095
39	0.3831518601
40	0.3774333627
41	0.3714993214
42	0.3663807521
43	0.3605961108
44	0.3552181207
45	0.3509306026
46	0.3470636377
47	0.3420055166
48	0.3377306764
49	0.3347457421
50	0.3314361208
51	0.3273020816
52	0.3235202685
53	0.3200860478
54	0.3174382456
55	0.3138945888
56	0.3106982923
57	0.3076181208
58	0.3052701892
59	0.3023887144
60	0.2999494813
61	0.2972748253
62	0.2950145408
63	0.2924791058
64	0.2907719255
65	0.2890247665
66	0.2871231392
67	0.2852306951
68	0.283055796
69	0.2811430974
70	0.2789678875
71	0.2776166692
72	0.2764109241
73	0.2748140666
74	0.2733349842
75	0.2722123724
76	0.2708838149
77	0.2697871447
78	0.268287504
79	0.2670490142
80	0.2659002199
81	0.2647609782
82	0.2637471635
83	0.2628263517
84	0.261547308
85	0.260505165
86	0.2598375244
87	0.2592889109
88	0.258572886
89	0.2575479259
90	0.256555385
91	0.2555507045
92	0.2548211883
93	0.2540042996
94	0.2533779667
95	0.252702883
96	0.2517803785
97	0.2511615021
98	0.2503831307
99	0.2497577828
100	0.248956555
101	0.2483881095
102	0.2478410632
103	0.2472968376
104	0.2467137214
105	0.2459944647
106	0.245536072
107	0.2450593549
108	0.2445095111
109	0.243882967
110	0.2433252796
111	0.2428688183
112	0.242400072
113	0.2418732702
114	0.2415165181
115	0.2409879966
116	0.2406120416
117	0.240241617
118	0.239852447
119	0.2393783176
120	0.2388756919
121	0.2384336625
122	0.2378664252
123	0.2374011437
124	0.2369945436
125	0.2366824291
126	0.2362061799
127	0.2357995469
128	0.2354183494
129	0.2352116977
130	0.234838995
131	0.2344733057
132	0.2339892462
133	0.2336012155
134	0.2331479093
135	0.2329211962
136	0.2326011273
137	0.2321190202
138	0.231778467
139	0.2313668686
140	0.2309941144
141	0.2306595302
142	0.2304143912
143	0.2300598101
144	0.2297804964
145	0.2294630261
